state_id,phase,iteration,checkpoint_sha256,certified_supporting_mass_A,derived_structural_nonproof_mass_B,matched_random_nonproof_mass_C,A_minus_B,A_minus_C,region_size,base_kg_manifest_sha256,evidence_manifest_sha256
30fc470f7401da0c,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.02857142858511331,0.042857142877669965,0.03213287864887267,-0.014285714292556654,-0.003561450063759356,6,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
36b2c85b266010b4,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.0785473906233705,0.12857142851668962,0.09287845147810729,-0.05002403789331912,-0.014331060854736788,18,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
149aab874634a179,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.028571428496922766,0.04285714290503945,0.02859075615450771,-0.01428571440811668,-1.932765758494437e-05,6,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
b3a6c7628630359d,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.032144592745343085,0.05714285712461082,0.039301962126801496,-0.024998264379267734,-0.00715736938145841,8,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
6fefd9d7d54089c4,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.024991176862801823,0.04285714285714286,0.025005180016160013,-0.017865965994341034,-1.4003153358189274e-05,6,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
df88e8a71a960d88,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.07500026655117309,0.12857142853721673,0.07496812873786897,-0.05357116198604364,3.213781330412002e-05,18,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
7c1c7ae6205df8bc,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.09998345707141063,0.17142857173875886,0.11785395480729823,-0.07144511466734824,-0.0178704977358876,24,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
0e6caa2b89c5671e,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.1464178093634863,0.25714285729338926,0.1714264050065242,-0.11072504792990295,-0.025008595643037895,36,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
d3e8b63f8afb91f4,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.07499970669725117,0.1285714285440591,0.07142221542949714,-0.05357172184680792,0.0035774912677540294,18,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
9af16211b24685c6,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.04998565426095328,0.08571428577358625,0.05716896960475597,-0.035728631512632975,-0.00718331534380269,12,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
db1e347046310118,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.024999736117731514,0.04285714281380785,0.028553216024035263,-0.017857406696076335,-0.003553479906303749,6,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
56a7dde81d335df3,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.07856330007239434,0.1285714284482659,0.07511544034140036,-0.05000812837587157,0.003447859730993985,18,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
48c43bbbdab973de,late,0,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,0.050026309189557513,0.08571428583744838,0.06428727905323231,-0.03568797664789086,-0.014260969863674797,12,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
