semantic_type,n_states,n_applicable_proofs,mean_existential_alignment,mean_coverage_alignment,mean_excess_structural,mean_excess_random,mean_auprc,mean_rank_percentile,mean_top_k_recall
WinningThreat,83,243,0.046380167376619846,0.0390396598269571,-0.0001991886739395978,-0.002559628352678604,0.04969107127727472,0.44508616278022667,0.03762829094154395
TacticalLineWindow,83,243,0.035266483537694106,0.03086410518180802,-0.00016619483945586324,-0.0024758398101466374,0.04035721226852075,0.43611224070939647,0.028112449799196783
CompletionCell,83,243,0.05206540450798768,0.0450053360422323,1.2799888873092334e-11,0.0011042267951273108,0.14325147714049163,0.5567548766494549,0.04965696117804552
ForcedResponse,55,72,0.028831168816323388,0.028831168816323388,-1.4845436433183227e-11,0.0005093344046040775,0.10151644608040247,0.521038961038961,0.01818181818181818
BlockingMove,54,71,0.028306878293025056,0.028306878293025056,-1.3853246417803742e-11,0.0005373677215825307,0.10094715685011124,0.5211640211640212,0.018518518518518517
ProofSupportedGeometry,83,243,0.035266483537694106,0.03086410518180802,-0.00016619483945586324,-0.0024388773262403376,0.04035721226852075,0.43611224070939647,0.028112449799196783
