state_id,phase,iteration,semantic_type,applicable_proof_count,existential_max_alignment,coverage_mean_alignment,coverage_mean_excess_structural,coverage_mean_excess_random,coverage_mean_auprc,coverage_mean_rank_percentile,coverage_mean_top_k_recall,proof_ids,checkpoint_sha256,base_kg_manifest_sha256,evidence_manifest_sha256
071ab07e1e38a628,late,0,TacticalLineWindow,2,0.028571428531894878,0.026777943978257987,-7.770307456300696e-06,-6.866394059313295e-05,0.05136120784323772,0.4684170471841705,0.08333333333333333,proof:071ab07e1e38a628:2c9daa79abf6399e87928c04|proof:071ab07e1e38a628:7b8535d6ff619255965a172c,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
071ab07e1e38a628,late,0,WinningThreat,2,0.05355588795651597,0.03927017369056853,-1.5540595145755245e-05,-0.0010188440375404773,0.04982689614046009,0.422945205479452,0.041666666666666664,proof:071ab07e1e38a628:2c9daa79abf6399e87928c04|proof:071ab07e1e38a628:7b8535d6ff619255965a172c,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,BlockingMove,2,0.028571428620085423,0.028571428620085423,4.8656852852380084e-11,0.0010044643354461986,0.09090909090909091,0.7142857142857143,0.0,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,CompletionCell,3,0.08571428554094568,0.06666666653184664,-1.3482002898338821e-10,0.003124999844280651,0.07874443358314326,0.42857142857142855,0.0,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:14456de8421d112d4c41706a|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,ForcedResponse,2,0.028571428620085423,0.028571428620085423,4.8656852852380084e-11,0.0010044643371092763,0.09090909090909091,0.7142857142857143,0.0,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,ProofSupportedGeometry,3,0.05003705588035758,0.041679607839543255,1.2941172876586998e-05,-0.004187119784761685,0.04693929958753063,0.4616945712836124,0.0,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:14456de8421d112d4c41706a|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,TacticalLineWindow,3,0.05003705588035758,0.041679607839543255,1.2941172876586998e-05,-0.0030067339041348292,0.04693929958753063,0.4616945712836124,0.0,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:14456de8421d112d4c41706a|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
07e3a9d289c6178d,late,0,WinningThreat,3,0.10003624210931847,0.07502502187598274,2.502187598274359e-05,-0.006227248140525685,0.07875581332717928,0.4616945712836124,0.05555555555555555,proof:07e3a9d289c6178d:08f42e4be92883d4301377f8|proof:07e3a9d289c6178d:14456de8421d112d4c41706a|proof:07e3a9d289c6178d:4a991a9cef470cb306910280,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
0a43f69ab365b4d3,mid,0,BlockingMove,1,0.028571428483238025,0.028571428483238025,-8.81905451444176e-11,0.0006696427694274747,0.041666666666666664,0.34285714285714286,0.0,proof:0a43f69ab365b4d3:9fdb828fd431ed3a78858fc8,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
0a43f69ab365b4d3,mid,0,CompletionCell,1,0.028571428483238025,0.028571428483238025,-8.81905451444176e-11,0.0006696427211982693,0.041666666666666664,0.34285714285714286,0.0,proof:0a43f69ab365b4d3:9fdb828fd431ed3a78858fc8,25b7b3a8b149795bc812f303178a81c2f1892e764d27cd5d4a54817a8bdbae5c,28c2715fbc9b16a75dc7e849a907a807c5097918ff49a92fd0b76583533998a8,87c0cf2e0f6e4cf5cf1ed4a0f6eb27af0115a73f61e811e17185afa0d20e738e
