policy_loss,value_loss,total_loss,policy_entropy,iteration,selfplay_games_seen,optimizer_updates,replay_size,positions_seen,update_in_iteration,selfplay_seconds,training_seconds,iteration_seconds
3.544513702392578,0.9615067839622498,4.506020545959473,3.5798873901367188,1,20,8,308,308,1,56.472263731,0.937795766000022,57.41016223399998
3.5379772186279297,0.9467377066612244,4.484714984893799,3.5791358947753906,1,20,8,308,308,2,56.472263731,0.937795766000022,57.410171451999986
3.5255842208862305,0.9664922952651978,4.492076396942139,3.57796573638916,1,20,8,308,308,3,56.472263731,0.937795766000022,57.41017559599999
3.5044198036193848,1.0114285945892334,4.515848159790039,3.575214147567749,1,20,8,308,308,4,56.472263731,0.937795766000022,57.41017838799996
3.5072414875030518,0.8189499378204346,4.326191425323486,3.5744709968566895,1,20,8,308,308,5,56.472263731,0.937795766000022,57.410181109999996
3.496906042098999,0.9164454936981201,4.413351535797119,3.572748899459839,1,20,8,308,308,6,56.472263731,0.937795766000022,57.410184052999966
3.490581512451172,0.8509037494659424,4.341485023498535,3.571976661682129,1,20,8,308,308,7,56.472263731,0.937795766000022,57.410186635
3.4814882278442383,0.9772686958312988,4.458756923675537,3.5679757595062256,1,20,8,308,308,8,56.472263731,0.937795766000022,57.410287873000016
3.465029001235962,0.9906433820724487,4.455672264099121,3.5655720233917236,2,40,16,528,528,1,49.52467755399999,0.26920042199998306,49.793908104000025
3.4446020126342773,0.9020320177078247,4.3466339111328125,3.5627360343933105,2,40,16,528,528,2,49.52467755399999,0.26920042199998306,49.793913782000004
3.4147398471832275,0.8630366325378418,4.277776718139648,3.557481288909912,2,40,16,528,528,3,49.52467755399999,0.26920042199998306,49.793916905
3.4024670124053955,0.9093164205551147,4.311783313751221,3.5534045696258545,2,40,16,528,528,4,49.52467755399999,0.26920042199998306,49.793919509000034
3.40266752243042,1.016060709953308,4.418728351593018,3.549689531326294,2,40,16,528,528,5,49.52467755399999,0.26920042199998306,49.79392209400004
3.368703603744507,1.0097546577453613,4.378458023071289,3.5419085025787354,2,40,16,528,528,6,49.52467755399999,0.26920042199998306,49.79392439900005
3.3831229209899902,0.995776355266571,4.378899097442627,3.535634756088257,2,40,16,528,528,7,49.52467755399999,0.26920042199998306,49.79392625500003
3.375166893005371,0.9728962182998657,4.348062992095947,3.5313146114349365,2,40,16,528,528,8,49.52467755399999,0.26920042199998306,49.79392799100003
3.3042712211608887,0.881962239742279,4.1862335205078125,3.520922899246216,3,60,24,792,792,1,43.36905837499995,0.4379895280000028,43.80708537999993
3.3329010009765625,0.8937087655067444,4.226609706878662,3.511707305908203,3,60,24,792,792,2,43.36905837499995,0.4379895280000028,43.807091189000005
3.317256450653076,0.8617867827415466,4.179043292999268,3.5014891624450684,3,60,24,792,792,3,43.36905837499995,0.4379895280000028,43.80709383799996
3.375814437866211,0.8934900760650635,4.269304275512695,3.4940507411956787,3,60,24,792,792,4,43.36905837499995,0.4379895280000028,43.80709581399998
3.3552632331848145,0.9662104249000549,4.321473598480225,3.4840288162231445,3,60,24,792,792,5,43.36905837499995,0.4379895280000028,43.80709775999998
3.3241171836853027,0.8590940237045288,4.183211326599121,3.4734277725219727,3,60,24,792,792,6,43.36905837499995,0.4379895280000028,43.807099404999974
3.265955686569214,0.9078429937362671,4.173798561096191,3.4613075256347656,3,60,24,792,792,7,43.36905837499995,0.4379895280000028,43.807101160999935
3.2815093994140625,0.9172061085700989,4.198715686798096,3.4455108642578125,3,60,24,792,792,8,43.36905837499995,0.4379895280000028,43.80710269599996
3.1652724742889404,0.9565561413764954,4.121828556060791,3.4335105419158936,4,80,32,1024,1024,1,56.949517001000004,0.2943460099999129,57.24389071100006
3.2041494846343994,0.8180463314056396,4.022195816040039,3.4222919940948486,4,80,32,1024,1024,2,56.949517001000004,0.2943460099999129,57.24389678200009
3.222675323486328,0.9072855710983276,4.129961013793945,3.4153358936309814,4,80,32,1024,1024,3,56.949517001000004,0.2943460099999129,57.24389983700007
3.270627021789551,0.9840405583381653,4.25466775894165,3.3914217948913574,4,80,32,1024,1024,4,56.949517001000004,0.2943460099999129,57.24390285200002
3.219010829925537,0.9298499822616577,4.148860931396484,3.3821256160736084,4,80,32,1024,1024,5,56.949517001000004,0.2943460099999129,57.243904821
3.1461291313171387,1.049844741821289,4.195973873138428,3.3656303882598877,4,80,32,1024,1024,6,56.949517001000004,0.2943460099999129,57.24390660800009
3.2046782970428467,1.017886757850647,4.222565174102783,3.3416624069213867,4,80,32,1024,1024,7,56.949517001000004,0.2943460099999129,57.2439084450001
3.1215903759002686,0.9139308333396912,4.035521030426025,3.3310046195983887,4,80,32,1024,1024,8,56.949517001000004,0.2943460099999129,57.243910242000084
3.1959540843963623,0.9114707112312317,4.107424736022949,3.3353798389434814,5,100,40,1269,1269,1,39.79249628100001,0.28914235199999894,40.081670911999936
3.1262800693511963,0.8978120684623718,4.024092197418213,3.287658214569092,5,100,40,1269,1269,2,39.79249628100001,0.28914235199999894,40.08167688899994
3.1756606101989746,0.9077138304710388,4.083374500274658,3.294410467147827,5,100,40,1269,1269,3,39.79249628100001,0.28914235199999894,40.08167967599991
3.109112501144409,0.9547915458679199,4.06390380859375,3.2269837856292725,5,100,40,1269,1269,4,39.79249628100001,0.28914235199999894,40.08168182899999
3.1021924018859863,0.815875768661499,3.9180681705474854,3.27219557762146,5,100,40,1269,1269,5,39.79249628100001,0.28914235199999894,40.08168398199996
3.0118751525878906,0.9160956144332886,3.9279708862304688,3.258244514465332,5,100,40,1269,1269,6,39.79249628100001,0.28914235199999894,40.08168581299992
3.0188074111938477,0.8936583399772644,3.912465810775757,3.1904869079589844,5,100,40,1269,1269,7,39.79249628100001,0.28914235199999894,40.08168781500001
3.0164332389831543,0.9099997282028198,3.9264330863952637,3.166203737258911,5,100,40,1269,1269,8,39.79249628100001,0.28914235199999894,40.08168981699998
3.0276269912719727,0.8786909580230713,3.906317949295044,3.199167251586914,6,120,48,1503,1503,1,41.417109923,0.3194945950000374,41.73663262399998
3.0213351249694824,0.8785516023635864,3.8998866081237793,3.20824933052063,6,120,48,1503,1503,2,41.417109923,0.3194945950000374,41.73663886899999
2.9605355262756348,0.879734456539154,3.8402700424194336,3.2168655395507812,6,120,48,1503,1503,3,41.417109923,0.3194945950000374,41.73664200199994
2.892036199569702,1.0002251863479614,3.892261505126953,3.1139979362487793,6,120,48,1503,1503,4,41.417109923,0.3194945950000374,41.73664413999995
3.0676093101501465,0.8880565166473389,3.9556658267974854,3.146475315093994,6,120,48,1503,1503,5,41.417109923,0.3194945950000374,41.736646576
3.111262321472168,0.961517333984375,4.072779655456543,3.110539674758911,6,120,48,1503,1503,6,41.417109923,0.3194945950000374,41.736648446000004
2.9924042224884033,0.820947527885437,3.813351631164551,3.083282470703125,6,120,48,1503,1503,7,41.417109923,0.3194945950000374,41.736650235999946
2.927891731262207,0.9575791954994202,3.8854708671569824,3.1083524227142334,6,120,48,1503,1503,8,41.417109923,0.3194945950000374,41.73665184699996
3.0941224098205566,0.8872249126434326,3.9813473224639893,3.0934886932373047,7,140,56,1721,1721,1,36.685546606,0.31093569899996965,36.996509573000026
3.006135940551758,0.9536898136138916,3.9598257541656494,3.0501646995544434,7,140,56,1721,1721,2,36.685546606,0.31093569899996965,36.996514555999966
2.931218147277832,0.805067777633667,3.736285924911499,3.075427293777466,7,140,56,1721,1721,3,36.685546606,0.31093569899996965,36.99651677400004
2.9461441040039062,0.8553101420402527,3.8014543056488037,3.0480008125305176,7,140,56,1721,1721,4,36.685546606,0.31093569899996965,36.996518571000024
2.980400323867798,0.7630469799041748,3.7434473037719727,3.067837953567505,7,140,56,1721,1721,5,36.685546606,0.31093569899996965,36.996519939999985
2.9515109062194824,0.8429304957389832,3.7944414615631104,3.0181188583374023,7,140,56,1721,1721,6,36.685546606,0.31093569899996965,36.996521487999985
2.9852185249328613,0.8763208985328674,3.861539363861084,3.0874414443969727,7,140,56,1721,1721,7,36.685546606,0.31093569899996965,36.99652275599999
2.9436519145965576,0.7662999033927917,3.709951877593994,3.0028023719787598,7,140,56,1721,1721,8,36.685546606,0.31093569899996965,36.99652391500001
2.9648079872131348,0.7349126935005188,3.699720621109009,3.021747350692749,8,160,64,1957,1957,1,37.09368473400002,0.3187438859999929,37.412458382999944
2.8728091716766357,0.6800748109817505,3.552884101867676,2.9933552742004395,8,160,64,1957,1957,2,37.09368473400002,0.3187438859999929,37.41246476200001
2.879572868347168,0.7195843458175659,3.5991573333740234,3.0104527473449707,8,160,64,1957,1957,3,37.09368473400002,0.3187438859999929,37.412468848
2.755802869796753,0.937338650226593,3.693141460418701,2.968007802963257,8,160,64,1957,1957,4,37.09368473400002,0.3187438859999929,37.41247175900003
2.8233370780944824,0.8662425875663757,3.689579725265503,3.0135550498962402,8,160,64,1957,1957,5,37.09368473400002,0.3187438859999929,37.412478007999994
2.8676233291625977,0.9264192581176758,3.7940425872802734,2.9796082973480225,8,160,64,1957,1957,6,37.09368473400002,0.3187438859999929,37.41248142699999
2.798250436782837,0.7499204874038696,3.548171043395996,2.92026424407959,8,160,64,1957,1957,7,37.09368473400002,0.3187438859999929,37.41248429699999
2.878974437713623,1.062610149383545,3.941584587097168,2.976381301879883,8,160,64,1957,1957,8,37.09368473400002,0.3187438859999929,37.41248675899999
2.8067593574523926,0.8530000448226929,3.659759521484375,2.9229228496551514,9,180,72,2189,2189,1,43.20247811599995,0.4921065510000062,43.69461847599996
2.8323535919189453,0.6623271107673645,3.494680643081665,2.969449520111084,9,180,72,2189,2189,2,43.20247811599995,0.4921065510000062,43.694625859999974
2.884239435195923,0.9498188495635986,3.8340582847595215,2.9284415245056152,9,180,72,2189,2189,3,43.20247811599995,0.4921065510000062,43.69462940599999
2.7625203132629395,1.0605127811431885,3.823033094406128,2.8996026515960693,9,180,72,2189,2189,4,43.20247811599995,0.4921065510000062,43.694632740999964
2.7438197135925293,0.8806203007698059,3.6244399547576904,2.898685932159424,9,180,72,2189,2189,5,43.20247811599995,0.4921065510000062,43.69463552100001
2.757368803024292,0.8333133459091187,3.590682029724121,2.8440287113189697,9,180,72,2189,2189,6,43.20247811599995,0.4921065510000062,43.69463835199997
2.9358973503112793,0.8766045570373535,3.812501907348633,2.9480741024017334,9,180,72,2189,2189,7,43.20247811599995,0.4921065510000062,43.69464075999997
2.8213388919830322,0.7790040969848633,3.6003429889678955,2.916234016418457,9,180,72,2189,2189,8,43.20247811599995,0.4921065510000062,43.694643025999994
2.5965042114257812,0.841914713382721,3.4384188652038574,2.730334758758545,10,200,80,2408,2408,1,42.41266278400008,0.2886436369999501,42.70133407399999
2.7596163749694824,0.8448478579521179,3.604464292526245,2.89457106590271,10,200,80,2408,2408,2,42.41266278400008,0.2886436369999501,42.701339373999986
2.7782273292541504,0.8345458507537842,3.6127731800079346,2.814178228378296,10,200,80,2408,2408,3,42.41266278400008,0.2886436369999501,42.701342415
2.9198107719421387,0.9711089134216309,3.8909196853637695,2.838096857070923,10,200,80,2408,2408,4,42.41266278400008,0.2886436369999501,42.70134462499993
2.656829833984375,0.728011429309845,3.384841203689575,2.758296012878418,10,200,80,2408,2408,5,42.41266278400008,0.2886436369999501,42.70134672500001
2.845137119293213,0.8080387115478516,3.6531758308410645,2.8024251461029053,10,200,80,2408,2408,6,42.41266278400008,0.2886436369999501,42.701348725
2.717674970626831,0.6706392765045166,3.3883142471313477,2.7736549377441406,10,200,80,2408,2408,7,42.41266278400008,0.2886436369999501,42.701350634999926
2.69380521774292,0.8750878572463989,3.5688929557800293,2.8316516876220703,10,200,80,2408,2408,8,42.41266278400008,0.2886436369999501,42.701352455000006
2.692656993865967,0.9126653671264648,3.6053223609924316,2.813758134841919,11,220,88,2621,2621,1,40.74290874799999,0.35413389500001813,41.09707372599996
2.690485954284668,0.8627911806106567,3.553277015686035,2.787188768386841,11,220,88,2621,2621,2,40.74290874799999,0.35413389500001813,41.09707959699995
2.748264789581299,0.9674708843231201,3.715735673904419,2.8118817806243896,11,220,88,2621,2621,3,40.74290874799999,0.35413389500001813,41.09708272699993
2.779041290283203,0.8083378076553345,3.587378978729248,2.894366502761841,11,220,88,2621,2621,4,40.74290874799999,0.35413389500001813,41.097085268
2.876427173614502,0.9493922591209412,3.825819492340088,2.7922489643096924,11,220,88,2621,2621,5,40.74290874799999,0.35413389500001813,41.09708725199994
2.8122129440307617,0.8910508155822754,3.703263759613037,2.7907302379608154,11,220,88,2621,2621,6,40.74290874799999,0.35413389500001813,41.09708944499994
2.546720504760742,0.7846711277961731,3.3313915729522705,2.681936025619507,11,220,88,2621,2621,7,40.74290874799999,0.35413389500001813,41.09709119899992
2.6466007232666016,0.8403968811035156,3.486997604370117,2.7097010612487793,11,220,88,2621,2621,8,40.74290874799999,0.35413389500001813,41.097093411999936
2.7241506576538086,0.963829755783081,3.6879804134368896,2.7985072135925293,12,240,96,2821,2821,1,36.528389613999934,0.37182962600002156,36.90025188800007
