run_id,model_type,seed,iteration,state_id,policy_top1_correct,policy_optimal_mass,policy_entropy,value_prediction,solver_value,value_error,graph_critical_mass,graph_precision_at_k,graph_recall_at_k,graph_auprc,random_critical_mass,structural_critical_mass,alignment_minus_random,alignment_minus_structural,mcts_optimal_mass,mcts_selected_optimal,mcts_entropy,search_gain,optimizer_updates,selfplay_games_seen
h3_pilot_rgcn_seed7,rgcn,7,0,1559aaca170f0da6,0,0.22277458012104034,2.1936984056027637,0.17836664617061615,1,0.8216333538293839,0.025,0.0,0.0,0.025646678525744274,0.02790980958559414,0.025,-0.0029098095855941385,0.0,0.8799999952316284,1,0.9324463838328003,0.6572254300117493,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,a7359cadc492ae4c,1,0.6068079471588135,1.9377179984366932,0.17071394622325897,1,0.829286053776741,0.02571428571428571,0.0,0.0,0.026143054758613355,0.027220365015392968,0.02571428571428571,-0.0015060793011072576,0.0,0.940000057220459,1,1.561352028969434,0.3331921100616455,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,b4042b01dc34290f,0,0.3887925148010254,1.600597124723238,0.17833194136619568,1,0.8216680586338043,0.026785714285714288,0.08333333333333333,0.08333333333333333,0.024386759847633138,0.026928321474066312,0.026785714285714288,-0.0001426071883520244,0.0,0.8999999761581421,1,1.054185205470874,0.5112074613571167,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,61aeded89741679b,1,0.4831081032752991,2.076961204209183,0.06898976117372513,1,0.9310102388262749,0.02589285714285714,0.0,0.0,0.07661041129566201,0.027464267524489043,0.02589285714285714,-0.001571410381631902,0.0,0.9199999570846558,1,1.3034403722786854,0.4368918538093567,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,bec4675552dbe86b,0,0.19472834467887878,2.298876274502215,0.07657988369464874,1,0.9234201163053513,0.03452380952380952,0.0,0.0,0.07682706626827672,0.03930090044018363,0.03452380952380952,-0.004777090916374113,0.0,0.8999999761581421,1,0.4860267794558468,0.7052716016769409,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,66c00e0e01b84dee,1,0.2321520745754242,2.1951765308377054,0.17600664496421814,1,0.8239933550357819,0.025,0.0,0.0,0.08624461024680695,0.028215422503930086,0.025,-0.003215422503930084,0.0,0.8999999761581421,1,0.9072330872510429,0.6678478717803955,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,43d35c63294bcfc5,0,0.4976797103881836,2.0779870224518238,0.0758148655295372,1,0.9241851344704628,0.03928571428571429,0.05,0.05,0.03946468951796235,0.04467513199128213,0.03928571428571429,-0.005389417705567841,0.0,0.9199999570846558,1,1.266166488320935,0.42232024669647217,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,d3a2c2817219093a,0,0.21613995730876923,2.194380040587866,0.16854317486286163,1,0.8314568251371384,0.025,0.0,0.0,0.031960567198832515,0.028638869549635286,0.025,-0.0036388695496352846,0.0,0.9000000357627869,1,0.9363889252113321,0.6838600635528564,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,0cae4879252a3d5a,0,0.1179208904504776,2.2949943136374698,0.07267080247402191,0,0.07267080247402191,0.05357142857142857,0.0,0.0,0.08092121921531226,0.05156177524509385,0.05357142857142857,0.0020096533263347163,0.0,0.41999998688697815,1,1.9382499146829755,0.30207908153533936,0,0
h3_pilot_rgcn_seed7,rgcn,7,0,16f8548fb818aac6,0,0.21293118596076965,2.1952102398302653,0.1736026406288147,1,0.8263973593711853,0.026785714285714288,0.0,0.0,0.02129394308856053,0.025681567829515296,0.026785714285714288,0.001104146456198992,0.0,0.8799999952316284,1,0.9324463838328003,0.6670688390731812,0,0
