run_id,model_type,checkpoint,state_id,solver_value,num_optimal_actions,num_valid_proofs,concept,relation,policy_top1_correct,policy_optimal_mass,policy_entropy,value_prediction,value_error,graph_critical_mass,graph_best_valid_proof_mass,graph_precision_at_k,graph_recall_at_k,graph_auprc,random_critical_mass,structural_critical_mass,per_head_metrics_json,mcts_selected_optimal,mcts_optimal_mass,mcts_entropy,search_gain_optimal_mass,mcts_value_convention_version,q_perspective,semantic_view,policy_logit_contribution,channel_output_norm
h1_mvp_seed7,rgat,results/rgat/model.pt,6d2d4c3c5deea829,1,2,3,immediate_win,horizontal,1,0.3574860394001007,1.7792180285525492,0.21940575540065765,0.7805942445993423,0.02321230380786382,0.02500287470141707,0.0,0.0,0.10627892134266977,0.02816992745436072,0.023214285714285715,"{""0"":{""mass"":0.023211184752994964,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.10593860716076062,""critical_edges"":6.0},""1"":{""mass"":0.023195708654436833,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.10558262565197898,""critical_edges"":6.0},""2"":{""mass"":0.023234883522535874,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.10842550260423983,""critical_edges"":6.0},""3"":{""mass"":0.023207438301526037,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.10582388451155016,""critical_edges"":6.0}}",1,0.9200000166893005,1.013384272414277,0.5625139474868774,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,rgat,results/rgat/model.pt,da28d68b75d8c28e,1,1,1,immediate_win,diagonal_down,1,0.1846383661031723,1.9346034048369334,0.08945134282112122,0.9105486571788788,0.028571428642893325,0.028571428642893325,0.16666666666666666,0.16666666666666666,0.037524126119226,0.029206977198926072,0.02857142857142857,"{""0"":{""mass"":0.028571428814712835,""precision_at_k"":0.16666666666666666,""recall_at_k"":0.16666666666666666,""auprc"":0.037063830232339244,""critical_edges"":6.0},""1"":{""mass"":0.028571428407211694,""precision_at_k"":0.16666666666666666,""recall_at_k"":0.16666666666666666,""auprc"":0.038503013329020695,""critical_edges"":6.0},""2"":{""mass"":0.028571428620085423,""precision_at_k"":0.16666666666666666,""recall_at_k"":0.16666666666666666,""auprc"":0.0374262053338204,""critical_edges"":6.0},""3"":{""mass"":0.028571428729563343,""precision_at_k"":0.16666666666666666,""recall_at_k"":0.16666666666666666,""auprc"":0.03728249580844546,""critical_edges"":6.0}}",1,0.8799999952316284,0.5819361239282365,0.6953616142272949,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,rgat,results/rgat/model.pt,6dfc9aa7895ca984,0,1,1,mandatory_block,vertical,0,0.12223534286022186,2.184756884200835,0.08869387954473495,0.08869387954473495,0.025000836077544126,0.025000836077544126,0.0,0.0,0.030911294016150382,0.02905873187196652,0.025,"{""0"":{""mass"":0.025000026561319777,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.030541571143528314,""critical_edges"":6.0},""1"":{""mass"":0.025007395925282148,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03316319658821942,""critical_edges"":6.0},""2"":{""mass"":0.024989620862284685,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.029748813032428958,""critical_edges"":6.0},""3"":{""mass"":0.02500630096130718,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03165167938238733,""critical_edges"":6.0}}",1,0.5199999809265137,1.6836829329214105,0.3977646231651306,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,rgat,results/rgat/model.pt,af49a5487217a88a,1,3,3,immediate_win,vertical,0,0.5125959515571594,1.770425368657762,0.21804365515708923,0.7819563448429108,0.025003118616125024,0.025003118616125024,0.0,0.0,0.036170281357010614,0.027125119341416697,0.025,"{""0"":{""mass"":0.024995426817666998,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03428465477901286,""critical_edges"":6.0},""1"":{""mass"":0.025003054897693534,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03585370524268164,""critical_edges"":6.0},""2"":{""mass"":0.025016519549642114,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03720884990946914,""critical_edges"":6.0},""3"":{""mass"":0.024997473199451597,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03453173933484688,""critical_edges"":6.0}}",1,0.9399999380111694,0.4860267794558468,0.42740398645401,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,rgat,results/rgat/model.pt,bfbc69d977ea9925,1,6,6,simple_fork,horizontal,1,0.5982586145401001,2.2722863191469935,0.21758969128131866,0.7824103087186813,0.06786211822485093,0.06786211822485093,0.0,0.0,0.06593141454432182,0.08327755480781945,0.06785714285714285,"{""0"":{""mass"":0.06782894231923824,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.06485818083766565,""critical_edges"":18.0},""1"":{""mass"":0.06787103942385463,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.06794985235003015,""critical_edges"":18.0},""2"":{""mass"":0.06791826937560115,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.07195358164682576,""critical_edges"":18.0},""3"":{""mass"":0.06783022178070885,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.06277742845226629,""critical_edges"":18.0}}",1,0.9399999380111694,0.7723805373093545,0.34174132347106934,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,rgat,results/rgat/model.pt,33d68d594543e999,1,2,2,immediate_win,vertical,0,0.20178133249282837,2.26901105715575,0.21934843063354492,0.7806515693664551,0.025002753195751258,0.025002753195751258,0.0,0.0,0.03701982672320545,0.02766280802500698,0.025,"{""0"":{""mass"":0.02499355520521989,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03510572282124006,""critical_edges"":6.0},""1"":{""mass"":0.02499741188117436,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03537658799800426,""critical_edges"":6.0},""2"":{""mass"":0.025018033598150524,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03868443489763945,""critical_edges"":6.0},""3"":{""mass"":0.025002012098475447,""precision_at_k"":0.0,""recall_at_k"":0.0,""auprc"":0.03657721136004054,""critical_edges"":6.0}}",1,0.9200000166893005,0.3896729001533558,0.7182186841964722,2,player_who_selects_action_at_parent,,,
h1_mvp_seed7,han,results/han/model.pt,1559aaca170f0da6,1,2,2,immediate_win,diagonal_up,0,0.22220256924629211,2.1916477638901526,0.016200823709368706,0.9837991762906313,0.028571428355513788,0.028571428355513788,0.0,0.0,0.09833270041382908,0.022630309368988404,0.02857142857142857,{},1,0.9199999570846558,0.7820175174497157,0.697797417640686,2,player_who_selects_action_at_parent,diagonal_up,-0.09848711639642715,6.993868350982666
h1_mvp_seed7,han,results/han/model.pt,a7359cadc492ae4c,1,4,5,immediate_win,vertical,1,0.5787309408187866,1.9446023475112153,0.014031398110091686,0.9859686018899083,0.018624741962233418,0.018624741962233418,0.0,0.0,0.01332553841697142,0.022534283656985413,0.019047619047619046,{},1,0.9399999380111694,1.4715637113916693,0.3612689971923828,2,player_who_selects_action_at_parent,vertical,0.049067139625549316,6.6062750816345215
h1_mvp_seed7,han,results/han/model.pt,b4042b01dc34290f,1,2,2,immediate_win,diagonal_down,0,0.37327027320861816,1.6035550645218173,0.012757309712469578,0.9872426902875304,0.028571428337267467,0.028571428337267467,0.0,0.0,0.09755901370889641,0.023250017279151387,0.02857142857142857,{},1,0.8999999761581421,1.054185205470874,0.5267297029495239,2,player_who_selects_action_at_parent,diagonal_down,-0.09809315949678421,6.090969085693359
h1_mvp_seed7,han,results/han/model.pt,61aeded89741679b,1,4,4,immediate_win,vertical,1,0.517360508441925,2.077672229327904,-0.07495792955160141,1.0749579295516014,0.01920820135048894,0.01920820135048894,0.0,0.0,0.02021987316334841,0.021530389713318512,0.019047619047619046,{},1,0.9200000762939453,1.4236055060820814,0.40263956785202026,2,player_who_selects_action_at_parent,vertical,0.054681915789842606,9.40726375579834
