policy_loss,value_loss,total_loss,policy_entropy,iteration,selfplay_games_seen,optimizer_updates,replay_size,positions_seen,update_in_iteration,selfplay_seconds,training_seconds,iteration_seconds
3.583963394165039,1.0294040441513062,4.613367557525635,3.5828042030334473,1,20,8,283,283,1,190.52752318500006,3.6823011709998354,194.2099830809998
3.580547332763672,1.0022919178009033,4.582839012145996,3.5828847885131836,1,20,8,283,283,2,190.52752318500006,3.6823011709998354,194.210158373
3.579258441925049,0.9659204483032227,4.5451788902282715,3.582836627960205,1,20,8,283,283,3,190.52752318500006,3.6823011709998354,194.21016877300008
3.5763046741485596,0.9154951572418213,4.491799831390381,3.5828487873077393,1,20,8,283,283,4,190.52752318500006,3.6823011709998354,194.2101754370001
3.5745959281921387,0.9407851696014404,4.515380859375,3.5827736854553223,1,20,8,283,283,5,190.52752318500006,3.6823011709998354,194.2101798929998
3.573511838912964,1.0026551485061646,4.576167106628418,3.5827996730804443,1,20,8,283,283,6,190.52752318500006,3.6823011709998354,194.21018429900005
3.572662830352783,0.9102806448936462,4.482943534851074,3.5827207565307617,1,20,8,283,283,7,190.52752318500006,3.6823011709998354,194.21018868500005
3.570361614227295,0.9097139239311218,4.480075359344482,3.5826528072357178,1,20,8,283,283,8,190.52752318500006,3.6823011709998354,194.21019423999996
3.5611307621002197,0.8875206708908081,4.448651313781738,3.5825445652008057,2,40,16,511,511,1,132.10305181600006,1.2666309279998131,133.36973643400006
3.5583667755126953,0.8855264782905579,4.4438934326171875,3.5824105739593506,2,40,16,511,511,2,132.10305181600006,1.2666309279998131,133.36974416500016
3.5531787872314453,0.8357570767402649,4.3889360427856445,3.5822038650512695,2,40,16,511,511,3,132.10305181600006,1.2666309279998131,133.36974882000004
3.555558681488037,0.741287112236023,4.29684591293335,3.582075595855713,2,40,16,511,511,4,132.10305181600006,1.2666309279998131,133.36975302500014
3.55025577545166,0.7321398258209229,4.282395362854004,3.58176326751709,2,40,16,511,511,5,132.10305181600006,1.2666309279998131,133.3697560820001
3.5488173961639404,0.7697876691818237,4.318604946136475,3.581468343734741,2,40,16,511,511,6,132.10305181600006,1.2666309279998131,133.36975869900016
3.544893741607666,0.6810786724090576,4.2259721755981445,3.58103609085083,2,40,16,511,511,7,132.10305181600006,1.2666309279998131,133.36976130600033
3.5376176834106445,0.6878414154052734,4.225459098815918,3.5808162689208984,2,40,16,511,511,8,132.10305181600006,1.2666309279998131,133.36976390300015
