run_id,model_type,seed,iteration,state_id,policy_top1_correct,policy_optimal_mass,policy_entropy,value_prediction,solver_value,value_error,graph_critical_mass,graph_precision_at_k,graph_recall_at_k,graph_auprc,random_critical_mass,structural_critical_mass,alignment_minus_random,alignment_minus_structural,mcts_optimal_mass,mcts_selected_optimal,mcts_entropy,search_gain,optimizer_updates,selfplay_games_seen
h3_pilot_rgat_seed7,rgat,7,0,1559aaca170f0da6,0,0.2231803834438324,2.1970961712508434,-0.046575579792261124,1,1.0465755797922611,0.024993361817415943,0.0,0.0,0.02683301560058455,0.02790980958559414,0.025,-0.0029164477681781972,-6.638182584058766e-06,0.8799999952316284,1,0.9991786930711221,0.6568195819854736,0,0
h3_pilot_rgat_seed7,rgat,7,0,a7359cadc492ae4c,1,0.5714327096939087,1.945842059061165,-0.0466645210981369,1,1.046664521098137,0.025712054163671443,0.0,0.0,0.029225408622161792,0.027220365015392968,0.02571428571428571,-0.0015083108517215255,-2.23155061426783e-06,0.9399999380111694,1,1.4715637113916693,0.36856722831726074,0,0
h3_pilot_rgat_seed7,rgat,7,0,b4042b01dc34290f,1,0.41191840171813965,1.608932408848852,-0.04462288320064545,1,1.0446228832006454,0.026790525831222815,0.08333333333333333,0.08333333333333333,0.0315084782626271,0.026928321474066312,0.026785714285714288,-0.00013779564284349677,4.811545508527637e-06,0.9200000166893005,1,0.9996424312339711,0.5080816149711609,0,0
h3_pilot_rgat_seed7,rgat,7,0,61aeded89741679b,1,0.5061787366867065,2.0790434964858235,-0.06491968780755997,1,1.06491968780756,0.025887429895862055,0.0,0.0,0.0700687317129508,0.027464267524489043,0.02589285714285714,-0.0015768376286269883,-5.427246995086399e-06,0.9200000166893005,1,1.3646764275303633,0.413821280002594,0,0
h3_pilot_rgat_seed7,rgat,7,0,bec4675552dbe86b,0,0.20336216688156128,2.302200060248499,-0.06820190697908401,1,1.068201906979084,0.03452051602829848,0.0,0.0,0.06540856080507351,0.03930090044018363,0.03452380952380952,-0.00478038441188515,-3.293495511036415e-06,0.9399999976158142,1,0.5664873382609724,0.7366378307342529,0,0
h3_pilot_rgat_seed7,rgat,7,0,66c00e0e01b84dee,0,0.22076106071472168,2.1971164898612825,-0.047269873321056366,1,1.0472698733210564,0.024997287695961337,0.0,0.0,0.07033830153115572,0.028215422503930086,0.025,-0.0032181348079687484,-2.712304038664237e-06,0.8600000143051147,1,1.0594619211237677,0.6392389535903931,0,0
h3_pilot_rgat_seed7,rgat,7,0,43d35c63294bcfc5,1,0.49997246265411377,2.0791923729060096,-0.06712484359741211,1,1.067124843597412,0.03926750078398881,0.05,0.05,0.04079797199953115,0.04467513199128213,0.03928571428571429,-0.005407631207293324,-1.821350172548364e-05,0.9200000166893005,1,1.3177774037651624,0.42002755403518677,0,0
h3_pilot_rgat_seed7,rgat,7,0,d3a2c2817219093a,0,0.2230655550956726,2.1971102961640883,-0.04661742225289345,1,1.0466174222528934,0.025016449056572763,0.0,0.0,0.03526841309629178,0.028638869549635286,0.025,-0.0036224204930625226,1.6449056572762077e-05,0.8799999952316284,1,0.9991786930711222,0.6569344401359558,0,0
h3_pilot_rgat_seed7,rgat,7,0,0cae4879252a3d5a,0,0.10077188909053802,2.3024732755400414,-0.06641466170549393,0,0.06641466170549393,0.05355882064857434,0.0,0.0,0.07014212501270603,0.05156177524509385,0.05357142857142857,0.001997045403480488,-1.2607922854228348e-05,0.11999999731779099,1,2.2945308877537953,0.01922810822725296,0,0
h3_pilot_rgat_seed7,rgat,7,0,16f8548fb818aac6,1,0.22706551849842072,2.1970327043197244,-0.04709242656826973,1,1.0470924265682697,0.026795375749612646,0.0,0.0,0.029743077945418438,0.025681567829515296,0.026785714285714288,0.0011138079200973504,9.661463898358313e-06,0.8799999952316284,1,0.9991786930711221,0.6529344916343689,0,0
h3_pilot_rgat_seed7,rgat,7,0,2fdd235121ff276a,1,1.0,2.302280741502234,-0.068840391933918,-1,0.931159608066082,0.03214556870791812,0.0,0.0,0.03801531241595886,0.036263712117334965,0.03214285714285714,-0.004118143409416845,2.711565060979637e-06,0.9999999403953552,1,2.260135208986721,-5.960464477539063e-08,0,0
h3_pilot_rgat_seed7,rgat,7,0,c1ac4ba0dfef5de3,0,0.6962454319000244,2.3023308476899,-0.06793752312660217,1,1.0679375231266022,0.037498770324912785,0.02777777777777778,0.02777777777777778,0.04371446990784228,0.042304337010790366,0.0375,-0.004805566685877581,-1.2296750872137219e-06,0.9800000190734863,1,0.42099234113470807,0.2837545871734619,0,0
h3_pilot_rgat_seed7,rgat,7,0,5b1cf9996b2cef81,0,0.19801074266433716,2.3023663145975966,-0.067204050719738,1,1.067204050719738,0.026790178374257602,0.0,0.0,0.03535160706209305,0.027141236975978436,0.026785714285714288,-0.0003510586017208342,4.464088543314204e-06,0.8600000143051147,1,0.6773908846716761,0.6619892716407776,0,0
h3_pilot_rgat_seed7,rgat,7,0,6b521b05a707c06a,1,0.2253704071044922,2.197099783412968,-0.047502316534519196,1,1.0475023165345192,0.039297470193683216,0.0,0.0,0.059917197185545445,0.04232163662380656,0.039285714285714285,-0.0030241664301233415,1.175590796893139e-05,0.85999995470047,1,0.7723805373093545,0.6346295475959778,0,0
h3_pilot_rgat_seed7,rgat,7,0,43ecccd1b28949ef,1,0.406659871339798,1.6093016468827475,-0.04458162933588028,1,1.0445816293358803,0.02381902080487075,0.0,0.0,0.030029035782178665,0.02812490467827518,0.023809523809523808,-0.004305883873404432,9.496995346941484e-06,0.8799999952316284,1,1.1087279797077771,0.47334012389183044,0,0
h3_pilot_rgat_seed7,rgat,7,0,fddff2137127f8fb,0,0.20264260470867157,2.302105670585401,-0.06688964366912842,1,1.0668896436691284,0.03839316400960634,0.0125,0.0125,0.04037248941071728,0.043635538058781995,0.038392857142857145,-0.005242374049175658,3.068667491917809e-07,0.8799999952316284,1,0.6773908846716761,0.6773573756217957,0,0
h3_pilot_rgat_seed7,rgat,7,0,edb1eb4a5268aa95,0,0.12086589634418488,2.0790036133126355,-0.06679185479879379,1,1.0667918547987938,0.023205258260293665,0.08333333333333333,0.08333333333333333,0.024833193448898554,0.027042123759897133,0.023214285714285715,-0.003836865499603468,-9.027453992050544e-06,0.8600000143051147,1,0.6773908846716761,0.7391341328620911,0,0
h3_pilot_rgat_seed7,rgat,7,0,238b9f777d66eb79,0,0.2981559634208679,2.3024115296484,-0.06773872673511505,1,1.067738726735115,0.02260855080122531,0.0,0.0,0.025108711411113368,0.027206521558764345,0.022619047619047622,-0.004597970757539035,-1.0496817822312071e-05,0.8799999952316284,1,0.5819361239282365,0.5818440318107605,0,0
h3_pilot_rgat_seed7,rgat,7,0,6d2d4c3c5deea829,1,0.3412523567676544,1.7913707755048454,-0.06564877182245255,1,1.0656487718224525,0.023810759172806728,0.0,0.0,0.08139731769215793,0.027797568730254567,0.023809523809523808,-0.003986809557447839,1.2353632829198435e-06,0.9199999570846558,1,1.0264984854573869,0.5787476301193237,0,0
h3_pilot_rgat_seed7,rgat,7,0,da28d68b75d8c28e,0,0.13852021098136902,1.9458028730872734,-0.04700061306357384,1,1.0470006130635738,0.028571428522771718,0.16666666666666666,0.16666666666666666,0.037449106098239406,0.029206977198926072,0.02857142857142857,-0.0006355486761543544,-4.8656852852380084e-11,0.8799999952316284,1,0.5819361239282365,0.741479754447937,0,0
h3_pilot_rgat_seed7,rgat,7,0,6dfc9aa7895ca984,0,0.11056212335824966,2.1971071890927174,-0.04775987192988396,0,0.04775987192988396,0.025009185545409134,0.0,0.0,0.032144250389648105,0.02905873187196652,0.025,-0.004049546326557386,9.185545409132884e-06,0.2199999988079071,1,2.1389217434146803,0.10943787544965744,0,0
h3_pilot_rgat_seed7,rgat,7,0,af49a5487217a88a,0,0.49289119243621826,1.7911381657303647,-0.06549974530935287,1,1.0654997453093529,0.049983328093910324,0.018518518518518517,0.018518518518518517,0.05392781732309856,0.053967880109173444,0.05000000000000001,-0.0039845520152631195,-1.6671906089685273e-05,0.9399999380111694,1,0.4860267794558468,0.44710874557495117,0,0
